Date,Cetes 28 days,Cetes 91 days,Cetes 182 days,Cetes 364 days,Cetes 728 days,Bonos 3 years,Bonos 5 years,Bonos 7 years,Bonos 10 years,Bonos 20 years,Bonos 30 years,Udibonos 3 years,Udibonos 5 years,Udibonos 10 years,Udibonos 30 years
1978-01-19,,10.1,,,,,,,,,,,,,
1978-02-02,,9.88,,,,,,,,,,,,,
1978-02-16,,9.82,,,,,,,,,,,,,
1978-03-02,,9.75,,,,,,,,,,,,,
1978-03-16,,9.62,,,,,,,,,,,,,
1978-04-06,,9.63,,,,,,,,,,,,,
1978-04-20,,9.65,,,,,,,,,,,,,
1978-05-04,,9.58,,,,,,,,,,,,,
1978-05-18,,9.59,,,,,,,,,,,,,
1978-06-01,,9.71,,,,,,,,,,,,,
1978-06-15,,9.89,,,,,,,,,,,,,
1978-07-06,,10.09,,,,,,,,,,,,,
1978-07-20,,10.21,,,,,,,,,,,,,
1978-08-03,,10.39,,,,,,,,,,,,,
1978-08-17,,10.52,,,,,,,,,,,,,
1978-08-31,,10.7,,,,,,,,,,,,,
1978-09-14,,10.84,,,,,,,,,,,,,
1978-10-05,,11.16,,,,,,,,,,,,,
1978-10-19,,11.47,,,,,,,,,,,,,
1978-11-03,,12.21,,,,,,,,,,,,,
1978-11-16,,12.47,,,,,,,,,,,,,
1978-11-30,,12.59,,,,,,,,,,,,,
1978-12-14,,12.75,,,,,,,,,,,,,
1979-01-04,,13.28,,,,,,,,,,,,,
1979-01-11,,13.38,,,,,,,,,,,,,
1979-01-18,,13.52,,,,,,,,,,,,,
1979-01-25,,13.57,,,,,,,,,,,,,
1979-02-01,,13.7,,,,,,,,,,,,,
1979-02-08,,13.75,,,,,,,,,,,,,
1979-02-15,,13.79,,,,,,,,,,,,,
1979-02-22,,13.84,,,,,,,,,,,,,
1979-03-01,,13.9,,,,,,,,,,,,,
1979-03-08,,13.99,,,,,,,,,,,,,
1979-03-15,,14.01,,,,,,,,,,,,,
1979-03-22,,13.99,,,,,,,,,,,,,
1979-03-29,,13.96,,,,,,,,,,,,,
1979-04-05,,14.01,,,,,,,,,,,,,
1979-04-11,,14.04,,,,,,,,,,,,,
1979-04-19,,14.11,,,,,,,,,,,,,
1979-04-26,,14.12,,,,,,,,,,,,,
1979-05-03,,14.15,,,,,,,,,,,,,
1979-05-10,,14.31,,,,,,,,,,,,,
1979-05-17,,14.42,,,,,,,,,,,,,
1979-05-24,,14.42,,,,,,,,,,,,,
1979-05-31,,14.38,,,,,,,,,,,,,
1979-06-07,,14.4,,,,,,,,,,,,,
1979-06-14,,14.42,,,,,,,,,,,,,
1979-06-21,,14.52,,,,,,,,,,,,,
1979-06-28,,14.63,,,,,,,,,,,,,
